title;job;company;city;region;postal_code;date
Data Scientist/Engineer (m/w/d);Data Scientist;Akkodis Germany Tech Experts GmbH;Berlin;Berlin;10789;2026-05-15
Data Engineer (f/m/d) - TV;Datenbankentwickler/in;smartclip;Berlin;Berlin;10178;2026-04-23
(Junior) Data Engineer (m/f/d);Datenbankentwickler/in;Statista;Berlin;Berlin;10178;2026-04-15
Data Engineer - Digital Health Excellence Center (w/m/d);Data Engineer;EY Consulting GmbH;Berlin;Berlin;10117;2026-01-26
Data Engineer - BI Plattform (m/w/d) ;Betriebswirt/in (Fachschule) - Projektmanagement;Bundesdruckerei Gruppe GmbH;Berlin;Berlin;10969;2026-03-27
Data Engineer (m/w/d) – Fokus Messdatenmanagement & Ownership;Wirtschaftsinformatiker/in (Hochschule);Octopus Energy Germany GmbH;Berlin;Berlin;10178;2026-06-08
Backend Entwickler Python (m/w/d) - Data Engineer Python;Softwareentwickler/in;Ratbacher GmbH;Berlin;Berlin;10115;2026-06-09
Experienced Data Engineer (f/m/d);Ingenieur/in - Maschinenbau;Siemens Energy Global GmbH & Co. KG;Berlin;Berlin;13629;2026-03-24
Software Engineer* für Datenprojekte;Data Engineer;inovex GmbH;Berlin;Berlin;Not provided;2025-05-22
Data Engineer (w/m/d);Data Engineer;Hamburger Hochbahn AG;Hamburg;Hamburg;20095;2026-04-27
Data Engineer (m/w/d);Data Engineer;expertum GmbH;Hamburg;Hamburg;20537;2026-06-08
Data Engineer;Data Engineer;alfatraining Bildungszentrum GmbH;Hamburg;Hamburg;20097;2025-02-10
Big Data Engineer (m/w/d);Data Engineer;FERCHAU GmbH Niederlassung Hamburg-City;Hamburg;Hamburg;20537;2026-06-05
Data Engineer (m/w/d);Datenbankentwickler/in;SCHICKLER Unternehmensberatung;Hamburg;Hamburg;22085;2026-04-15
Data Engineer Datenplattform (m/w/d);Data Engineer;EDEKA IT Stiftung & Co. OHG;Hamburg;Hamburg;22297;2026-02-04
IT Data Engineer Splunk (m/w/d);Data Engineer;FERCHAU GmbH Niederlassung Hamburg-City;Hamburg;Hamburg;20537;2026-06-12
Data & AI Engineer (m/w/d);Data Engineer;shoob.de;Hamburg;Hamburg;Not provided;2026-06-05
Data Engineer (m/w/d) SAS Base;Data Engineer;SIGNAL IDUNA Bauspar AG;Hamburg;Hamburg;22297;2026-06-12
Data Engineer* / Machine Learning Engineer*;Data Engineer;inovex GmbH;Hamburg;Hamburg;Not provided;2025-05-22
Azure Data Platform Engineer (m/w/d);Data Engineer;netgo group GmbH;Hamburg;Hamburg;20457;2026-06-04
Senior Data Engineer (m/f/d);Data Engineer;Fehrmann Tech Group;Hamburg;Hamburg;21107;2026-06-02
Senior Data Engineer (w/m/d);Data-Consultant;Wichterich & Partner Gesellschaft für IT-Dienstleistungen mbH;Hamburg;Hamburg;22529;2026-06-05
IT-Anwendungsentwickler / Data Engineer (m/w/d);Data Engineer;SIGNAL IDUNA Bauspar AG;Hamburg;Hamburg;22297;2026-04-09
KI Data Engineer (w/m/d);Datenbankentwickler/in;Syngenio;Hamburg;Hamburg;22085;2026-04-15
(Senior) Data Migration Engineer (m/w/d) Schwerpunkt Teamcenter;Data Engineer;Profi Talent Recruitment UG PTR;Hamburg;Hamburg;Not provided;2026-06-12
Data Engineer (m/w/d) B2B-Versandhandel;Data Engineer;Jungheinrich Profishop AG & Co. KG;Hamburg;Hamburg;22769;2026-04-22
